date_local,away_team,home_team,closing_spread_team,closing_spread,closing_total,model_total_v43,OU_prob_over_v43,pick_OU_v43,EV_OU_v43,EV_OU_bucket_v43,OU_result_v43,CLV_total_v43,model_total_v42,pick_OU_v42,OU_result_v42,EV_OU_v42,EV_OU_bucket_v42,model_margin_v42S,ATS_pick_team_v42S,ATS_EV_v42S,ATS_pick_result_v42S,ATS_result,final_away,final_home,status,snapshot_type,snapshot_time,line_timestamp,line_sources,fav_team,spread_current,total_current,injuries_home,injuries_away,starters_home,starters_away,line_moves,T_model_pick,T_model_prob_over,S_model_pick,S_model_cover_prob,snapshot_id,tip_time_et,tip_time_tpe,model_params,game_date_et,game_date_tpe,run_timestamp
2025-10-30,GSW,MIL,GSW,-7.5,229.0,227.48,0.4719,Under,5.61,+2%≤EV<+6%,L,-1.52,224.65,Under,L,17.16,EV≥+6%,-7.65,MIL,0.63,W,,110.0,120.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-29,2025-10-30,2025-11-08 16:35:13.813229
2025-10-30,WAS,OKC,OKC,-15.5,231.0,229.58,0.4719,Under,5.62,+2%≤EV<+6%,L,-1.42,226.94,Under,L,16.04,EV≥+6%,15.81,OKC,1.87,W,,108.0,127.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-29,2025-10-30,2025-11-08 16:35:13.813229
2025-10-30,MIA,SAS,SAS,-6.0,228.5,225.68,0.4477,Under,10.46,EV≥+6%,W,-2.82,220.45,Under,W,31.16,EV≥+6%,6.12,SAS,0.61,P,,101.0,107.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-29,2025-10-30,2025-11-08 16:35:13.813229
2025-10-31,TOR,CLE,CLE,-4.5,236.5,234.18,0.4562,Under,8.77,EV≥+6%,W,-2.32,229.87,Under,W,25.87,EV≥+6%,4.59,CLE,0.85,L,,112.0,101.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-08 16:35:13.813229
2025-10-31,ATL,IND,ATL,-2.5,232.5,232.08,0.4924,Under,1.51,EV<+2%,L,-0.42,231.3,Under,L,4.75,+2%≤EV<+6%,-2.55,IND,0.17,L,,128.0,108.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-08 16:35:13.813229
2025-10-31,NOP,LAC,LAC,-10.5,223.5,221.04,0.4536,Under,9.29,EV≥+6%,L,-2.46,216.47,Under,L,27.39,EV≥+6%,10.71,LAC,1.34,L,,124.0,126.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-08 16:35:13.813229
2025-10-31,LAL,MEM,LAL,-2.0,238.5,237.6,0.4836,Under,3.28,+2%≤EV<+6%,W,-0.9,235.94,Under,W,10.13,EV≥+6%,-2.04,MEM,0.27,L,,117.0,112.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-08 16:35:13.813229
2025-10-31,BOS,PHI,BOS,-1.5,234.0,231.69,0.4556,Under,8.87,EV≥+6%,W,-2.31,227.41,Under,W,25.74,EV≥+6%,-1.53,PHI,0.04,W,,109.0,108.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-08 16:35:13.813229
2025-10-31,UTA,PHO,PHO,-3.5,238.0,236.33,0.4706,Under,5.88,+2%≤EV<+6%,W,-1.67,233.23,Under,W,18.78,EV≥+6%,3.57,PHO,0.29,W,,96.0,118.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-08 16:35:13.813229
2025-10-31,DEN,POR,DEN,-5.5,239.5,237.7,0.4664,Under,6.72,EV≥+6%,W,-1.8,234.35,Under,W,20.24,EV≥+6%,-5.61,POR,0.75,W,,107.0,109.0,已補盤口+比分,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-08 16:35:13.813229
2025-11-01,HOU,BOS,HOU,-5.5,225.5,223.93,0.4722,Under,5.57,+2%≤EV<+6%,L,-1.57,221.01,Under,L,17.69,EV≥+6%,-5.61,BOS,0.72,L,W,128.0,101.0,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-08 16:35:13.813229
2025-11-01,DAL,DET,DET,-7.5,227.5,224.29,0.4367,Under,12.67,EV≥+6%,L,-3.21,218.32,Under,L,35.25,EV≥+6%,7.65,DET,1.04,W,W,110.0,122.0,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-08 16:35:13.813229
2025-11-01,GSW,IND,GSW,-10.5,230.5,228.72,0.4678,Under,6.44,EV≥+6%,W,-1.78,225.41,Under,W,20.01,EV≥+6%,-10.71,IND,1.29,W,W,109.0,114.0,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-08 16:35:13.813229
2025-11-01,SAC,MIL,MIL,-6.5,232.5,231.16,0.4735,Under,5.29,+2%≤EV<+6%,L,-1.34,228.67,Under,L,15.13,EV≥+6%,6.63,MIL,0.48,L,L,135.0,133.0,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-08 16:35:13.813229
2025-11-01,ORL,WAS,ORL,-9.5,233.5,230.07,0.4373,Under,12.55,EV≥+6%,W,-3.43,223.69,Under,W,37.48,EV≥+6%,-9.69,WAS,1.06,L,W,125.0,94.0,,,,,,,,,,,,,,,,,,,,,,2025-10-31,2025-11-01,2025-11-08 16:35:13.813229
2025-11-02,PHI,BRK,PHI,-5.5,232.5,231.32,0.4791,Under,4.18,+2%≤EV<+6%,L,-1.18,229.12,Under,L,13.37,EV≥+6%,-5.61,BRK,0.52,L,W,129.0,105.0,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-08 16:35:13.813229
2025-11-02,UTA,CHO,UTA,-1.5,232.5,230.07,0.4528,Under,9.44,EV≥+6%,W,-2.43,225.55,Under,W,27.07,EV≥+6%,-1.53,UTA,0.14,L,L,103.0,126.0,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-08 16:35:13.813229
2025-11-02,ATL,CLE,CLE,-6.0,231.0,230.18,0.4814,Under,3.72,+2%≤EV<+6%,W,-0.82,228.66,Under,W,9.28,EV≥+6%,6.12,CLE,0.81,W,W,109.0,117.0,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-08 16:35:13.813229
2025-11-02,MIA,LAL,LAL,-4.5,233.5,231.65,0.4662,Under,6.76,EV≥+6%,L,-1.85,228.22,Under,L,20.74,EV≥+6%,4.59,LAL,0.1,W,W,120.0,130.0,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-08 16:35:13.813229
2025-11-02,CHI,NYK,NYK,-7.0,235.5,233.77,0.4687,Under,6.26,EV≥+6%,L,-1.73,230.55,Under,L,19.47,EV≥+6%,7.14,NYK,0.57,W,W,116.0,128.0,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-08 16:35:13.813229
2025-11-02,NOP,OKC,OKC,-13.5,228.5,226.15,0.4552,Under,8.95,EV≥+6%,L,-2.35,221.78,Under,L,26.21,EV≥+6%,13.77,OKC,1.73,W,W,106.0,137.0,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-08 16:35:13.813229
2025-11-02,SAS,PHO,SAS,-5.5,227.5,226.56,0.4829,Under,3.42,+2%≤EV<+6%,L,-0.94,224.81,Under,L,10.66,EV≥+6%,-5.61,PHO,0.66,W,L,118.0,130.0,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-08 16:35:13.813229
2025-11-02,MEM,TOR,TOR,-5.5,239.5,238.1,0.4746,Under,5.09,+2%≤EV<+6%,W,-1.4,235.5,Under,W,15.79,EV≥+6%,5.61,TOR,0.67,W,W,104.0,117.0,,,,,,,,,,,,,,,,,,,,,,2025-11-01,2025-11-02,2025-11-08 16:35:13.813229
2025-11-03,UTA,BOS,BOS,-10.5,233.5,232.06,0.4717,Under,5.67,+2%≤EV<+6%,W,-1.44,229.39,Under,W,16.22,EV≥+6%,10.71,BOS,1.52,L,L,105.0,103.0,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-08 16:35:13.813229
2025-11-03,SAC,DEN,DEN,-11.5,236.5,233.46,0.4428,Under,11.44,EV≥+6%,L,-3.04,227.82,Under,L,33.45,EV≥+6%,11.73,DEN,1.5,L,L,124.0,130.0,,,,,,,,,,,,,,,,,,,,,,2025-11-02,2025-11-03,2025-11-08 16:35:13.813229
