date_local,game_id,away_team,home_team,closing_spread_team,closing_spread,closing_total,model_spread_team,model_spread,model_total,pick_ATS,pick_OU,EV_ATS,EV_OU,final_away,final_home,final_margin,final_total,ATS_result,OU_result,CLV_spread,CLV_total,error_tags,notes,focus_team_flag,EV_ATS_bucket,EV_OU_bucket,model_version,ATS_result_calc,OU_result_calc,model_total_v42,CLV_total_v42,pick_OU_v42,OU_result_v42,status,closing_spread_team_new,closing_spread_new,closing_total_new,EV_OU_v42,EV_OU_bucket_v42,model_margin_v42S,ATS_pick_team_v42S,ATS_EV_v42S,ATS_pick_result_v42S,model_total_v43,OU_prob_over_v43,pick_OU_v43,EV_OU_v43,EV_OU_bucket_v43,CLV_total_v43,OU_result_v43,summary_type,sum_OU_W,sum_OU_L,sum_OU_P,sum_OU_Trials,sum_OU_Hit_%,sum_ATS_W,sum_ATS_L,sum_ATS_P,sum_ATS_Trials,sum_ATS_Hit_%,source_ATS_metric,snapshot_type,snapshot_time,line_timestamp,line_sources,fav_team,spread_current,total_current,injuries_home,injuries_away,starters_home,starters_away,line_moves,T_model_pick,T_model_prob_over,S_model_pick,S_model_cover_prob,snapshot_id,tip_time_et,tip_time_tpe,model_params,game_date_et,game_date_tpe,run_timestamp
2025-10-30,,GSW,MIL,GSW,-7.5,229.0,,,,,,,,110.0,120.0,,,,,,,,,,,,,,,224.65,-4.35,Under,L,已補盤口+比分,,,,17.16,EV≥+6%,-7.65,MIL,0.63,W,227.48,0.4719,Under,5.61,+2%≤EV<+6%,-1.52,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-29,2025-10-30,2025-11-09 11:25:25.218522
2025-10-30,,WAS,OKC,OKC,-15.5,231.0,,,,,,,,108.0,127.0,,,,,,,,,,,,,,,226.94,-4.06,Under,L,已補盤口+比分,,,,16.04,EV≥+6%,15.81,OKC,1.87,W,229.58,0.4719,Under,5.62,+2%≤EV<+6%,-1.42,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-29,2025-10-30,2025-11-09 11:25:25.218522
2025-10-30,,MIA,SAS,SAS,-6.0,228.5,,,,,,,,101.0,107.0,,,,,,,,,,,,,,,220.45,-8.05,Under,W,已補盤口+比分,,,,31.16,EV≥+6%,6.12,SAS,0.61,P,225.68,0.4477,Under,10.46,EV≥+6%,-2.82,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-29,2025-10-30,2025-11-09 11:25:25.218522
2025-10-31,,TOR,CLE,CLE,-4.5,236.5,,,,,,,,112.0,101.0,,,,,,,,,,,,,,,229.87,-6.63,Under,W,已補盤口+比分,,,,25.87,EV≥+6%,4.59,CLE,0.85,L,234.18,0.4562,Under,8.77,EV≥+6%,-2.32,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-09 11:25:25.218522
2025-10-31,,ATL,IND,ATL,-2.5,232.5,,,,,,,,128.0,108.0,,,,,,,,,,,,,,,231.3,-1.2,Under,L,已補盤口+比分,,,,4.75,+2%≤EV<+6%,-2.55,IND,0.17,L,232.08,0.4924,Under,1.51,EV<+2%,-0.42,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-09 11:25:25.218522
2025-10-31,,NOP,LAC,LAC,-10.5,223.5,,,,,,,,124.0,126.0,,,,,,,,,,,,,,,216.47,-7.03,Under,L,已補盤口+比分,,,,27.39,EV≥+6%,10.71,LAC,1.34,L,221.04,0.4536,Under,9.29,EV≥+6%,-2.46,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-09 11:25:25.218522
2025-10-31,,LAL,MEM,LAL,-2.0,238.5,,,,,,,,117.0,112.0,,,,,,,,,,,,,,,235.94,-2.56,Under,W,已補盤口+比分,,,,10.13,EV≥+6%,-2.04,MEM,0.27,L,237.6,0.4836,Under,3.28,+2%≤EV<+6%,-0.9,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-09 11:25:25.218522
2025-10-31,,BOS,PHI,BOS,-1.5,234.0,,,,,,,,109.0,108.0,,,,,,,,,,,,,,,227.41,-6.59,Under,W,已補盤口+比分,,,,25.74,EV≥+6%,-1.53,PHI,0.04,W,231.69,0.4556,Under,8.87,EV≥+6%,-2.31,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-09 11:25:25.218522
2025-10-31,,UTA,PHO,PHO,-3.5,238.0,,,,,,,,96.0,118.0,,,,,,,,,,,,,,,233.23,-4.77,Under,W,已補盤口+比分,,,,18.78,EV≥+6%,3.57,PHO,0.29,W,236.33,0.4706,Under,5.88,+2%≤EV<+6%,-1.67,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-09 11:25:25.218522
2025-10-31,,DEN,POR,DEN,-5.5,239.5,,,,,,,,107.0,109.0,,,,,,,,,,,,,,,234.35,-5.15,Under,W,已補盤口+比分,,,,20.24,EV≥+6%,-5.61,POR,0.75,W,237.7,0.4664,Under,6.72,EV≥+6%,-1.8,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,2025-10-31,2025-11-09 11:25:25.218522
